Account Statement - A/C XXXX7842 - 01/05/2026 to 05/07/2026

Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt,Deposit Amt,Closing Balance
01/05/26,ACME TECHNOLOGIES SALARY MAY,NEFT88101,01/05/26,,"55,000.00","87,450.00"
03/05/26,UPI-SWIGGY ORDER 8827,UPI55402,03/05/26,435.00,,"87,015.00"
05/05/26,SPOTIFY SUBSCRIPTION,ACH00913,05/05/26,299.00,,"86,716.00"
10/05/26,UPI-ZEPTO GROCERIES,UPI55871,10/05/26,"1,246.00",,"85,470.00"
12/05/26,UPI-SPOTIFY PREMIUM,UPI55990,12/05/26,299.00,,"85,171.00"
15/05/26,AMAZON PAY INDIA,REF77120,15/05/26,"2,340.00",,"82,831.00"
18/05/26,UPI-UBER RIDE,UPI56204,18/05/26,387.00,,"82,444.00"
21/05/26,CROMA ELECTRONICS BLR,POS10233,21/05/26,"3,499.00",,"78,945.00"
28/05/26,NOBROKER RENT PAYMENT MAY,NEFT88566,28/05/26,"28,000.00",,"50,945.00"
01/06/26,ACME TECHNOLOGIES SALARY JUN,NEFT88910,01/06/26,,"63,000.00","1,13,945.00"
03/06/26,UPI-SWIGGY ORDER 9114,UPI57002,03/06/26,512.00,,"1,13,433.00"
07/06/26,APOLLO PHARMACY KORAMANGALA,POS10871,07/06/26,843.00,,"1,12,590.00"
10/06/26,UPI-BLINKIT GROCERY,UPI57488,10/06/26,934.00,,"1,11,656.00"
14/06/26,MOTHERHOOD CLINIC BLR,POS11034,14/06/26,"2,500.00",,"1,09,156.00"
17/06/26,UPI-OLA CABS,UPI57910,17/06/26,243.00,,"1,08,913.00"
20/06/26,APOLLO PHARMACY KORAMANGALA,POS11288,20/06/26,"1,187.00",,"1,07,726.00"
24/06/26,FIRSTCRY ONLINE STORE,REF79451,24/06/26,"1,876.00",,"1,05,850.00"
28/06/26,NOBROKER RENT PAYMENT JUN,NEFT89320,28/06/26,"28,000.00",,"77,850.00"
30/06/26,IKEA FURNITURE NURSERY,POS11562,30/06/26,"32,450.00",,"45,400.00"
02/07/26,MAKEMYTRIP BOOKING,REF80112,02/07/26,"12,999.00",,"32,401.00"
03/07/26,UPI-ZEPTO GROCERIES,UPI58733,03/07/26,687.00,,"31,714.00"
04/07/26,UPI-SWIGGY ORDER 9542,UPI58801,04/07/26,456.00,,"31,258.00"
04/07/26,FIRSTCRY BABY GEAR,POS11790,04/07/26,"3,499.00",,"27,759.00"
05/07/26,UPI-UBER RIDE,UPI58990,05/07/26,312.00,,"27,447.00"
